app_id,tag
10,1980s
10,1990's
10,Action
10,Assassin
10,Classic
10,Competitive
10,eSports
10,First-Person
10,FPS
10,Military
10,Multiplayer
10,Nostalgia
10,Old School
10,PvP
10,Score Attack
10,Shooter
10,Strategy
10,Survival
10,Tactical
10,Team-Based
20,1990's
20,Action
20,Class-Based
20,Classic
20,Co-op
20,Competitive
20,Fast-Paced
20,First-Person
20,FPS
20,Funny
20,Hero Shooter
20,Mod
20,Multiplayer
20,Old School
20,Online Co-Op
20,Remake
20,Retro
20,Shooter
20,Team-Based
20,Violent
50,1990's
50,Action
50,Adventure
50,Aliens
50,Atmospheric
50,Classic
50,Co-op
50,First-Person
50,FPS
50,Gore
50,Great Soundtrack
50,Military
50,Moddable
50,Puzzle
50,Retro
50,Sci-fi
50,Shooter
50,Silent Protagonist
50,Singleplayer
50,Story Rich
70,1990's
70,Action
70,Action-Adventure
70,Adventure
70,Aliens
70,Atmospheric
70,Classic
70,Difficult
70,First-Person
70,FPS
70,Gore
70,Moddable
70,Multiplayer
70,PvP
70,Retro
70,Sci-fi
70,Shooter
70,Silent Protagonist
70,Singleplayer
70,Story Rich
130,1990's
130,Action
130,Adventure
130,Aliens
130,Atmospheric
130,Classic
130,First-Person
130,FPS
130,Great Soundtrack
130,Moddable
130,Puzzle
130,Retro
130,Sci-fi
130,Shooter
130,Short
130,Silent Protagonist
130,Singleplayer
130,Story Rich
130,Violent
130,Zombies
220,Action
220,Adventure
220,Aliens
220,Atmospheric
220,Classic
220,Dystopian
220,First-Person
220,FPS
220,Great Soundtrack
220,Horror
220,Moddable
220,Multiplayer
220,Physics
220,Puzzle
220,Sci-fi
220,Shooter
220,Silent Protagonist
220,Singleplayer
220,Story Rich
220,Zombies
240,Action
240,Atmospheric
240,Competitive
240,Difficult
240,eSports
240,First-Person
240,FPS
240,Military
240,Moddable
240,Multiplayer
240,PvP
240,Sandbox
240,Shooter
240,Simulation
240,Singleplayer
240,Strategy
240,Survival
240,Tactical
240,Team-Based
240,War
300,Action
300,Class-Based
300,Classic
300,First-Person
300,FPS
300,Gore
300,Historical
300,Massively Multiplayer
300,Military
300,Multiplayer
300,Online Co-Op
300,Realistic
300,Shooter
300,Simulation
300,Strategy
300,Tactical
300,Team-Based
300,Violent
300,War
300,World War II
400,3D Platformer
400,Action
400,Adventure
400,Atmospheric
400,Classic
400,Comedy
400,Dark Humor
400,Female Protagonist
400,First-Person
400,FPS
400,Funny
400,Physics
400,Platformer
400,Puzzle
400,Puzzle Platformer
400,Sci-fi
400,Science
400,Short
400,Singleplayer
400,Story Rich
440,Action
440,Cartoon
440,Cartoony
440,Class-Based
440,Co-op
440,Comedy
440,Competitive
440,Crafting
440,First-Person
440,FPS
440,Free to Play
440,Funny
440,Hero Shooter
440,Multiplayer
440,Online Co-Op
440,Robots
440,Shooter
440,Tactical
440,Team-Based
440,Trading
500,Action
500,Adventure
500,Atmospheric
500,Co-op
500,Competitive
500,Female Protagonist
500,First-Person
500,FPS
500,Horror
500,Moddable
500,Multiplayer
500,Online Co-Op
500,Post-apocalyptic
500,Replay Value
500,Shooter
500,Singleplayer
500,Survival
500,Tactical
500,Team-Based
500,Zombies
550,Action
550,Adventure
550,Co-op
550,First-Person
550,FPS
550,Gore
550,Horror
550,Local Co-Op
550,Moddable
550,Multiplayer
550,Online Co-Op
550,Post-apocalyptic
550,Replay Value
550,Shooter
550,Singleplayer
550,Survival
550,Survival Horror
550,Tactical
550,Team-Based
550,Zombies
570,Action
570,Action RPG
570,Character Customization
570,Co-op
570,Competitive
570,Difficult
570,eSports
570,Fantasy
570,Free to Play
570,MOBA
570,Multiplayer
570,Online Co-Op
570,PvP
570,Replay Value
570,RPG
570,RTS
570,Simulation
570,Strategy
570,Team-Based
570,Tower Defense
620,3D Platformer
620,Action
620,Action-Adventure
620,Adventure
620,Atmospheric
620,Co-op
620,Comedy
620,Dark Humor
620,Female Protagonist
620,First-Person
620,FPS
620,Funny
620,Level Editor
620,Physics
620,Platformer
620,Puzzle
620,Puzzle Platformer
620,Sci-fi
620,Science
620,Story Rich
730,Action
730,Co-op
730,Competitive
730,Difficult
730,eSports
730,Fast-Paced
730,First-Person
730,FPS
730,Military
730,Moddable
730,Multiplayer
730,Online Co-Op
