app_id,name,playtime_minutes,playtime_hours,playtime_2weeks,img_icon_url,img_logo_url
10,Counter-Strike,22,0.37,0,6b0312cda02f5f777efa2f3318c307ff9acafbb5,
80,Counter-Strike: Condition Zero,0,0.0,0,077b050ef3e89cd84e2c5a575d78d53b54058236,
100,Counter-Strike: Condition Zero Deleted Scenes,203,3.38,0,077b050ef3e89cd84e2c5a575d78d53b54058236,
3330,Zuma Deluxe,225,3.75,0,0d252b5ad580d6a8ec07dab2c8a3afb30673ae35,
3830,Psychonauts,336,5.6,0,460b6471db7d83ee6943c1a87f7a9f2898634952,
4000,Garry's Mod,2578,42.97,0,4a6f25cfa2426445d0d9d6e233408de4d371ce8b,
2280,DOOM + DOOM II,51,0.85,0,3e5e70b1e0c4869dc3276b10b830f6ce9d341cf9,
2300,DOOM II,1,0.02,0,ca71be262e191f3fdb2148f5ae56ff3e2ca340c2,
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,322,5.37,0,c57f5fdde74464aed0a09c2e5dd41f8973cbee8d,
220,Half-Life 2,2117,35.28,0,fcfb366051782b8ebf2aa297f3b746395858cb62,
320,Half-Life 2: Deathmatch,8,0.13,0,795e85364189511f4990861b578084deef086cb1,
360,Half-Life Deathmatch: Source,0,0.0,0,40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3,
400,Portal,172,2.87,0,cfa928ab4119dd137e50d728e8fe703e4e970aff,
12200,Bully: Scholarship Edition,51,0.85,0,791f13dd4ea6c4cdf171670cc576682171c1eae5,
19980,Prince of Persia,50,0.83,0,2b404bd60fb97a9c1eabb9d4a573909c014a23fd,
3590,Plants vs. Zombies: Game of the Year,1096,18.27,0,d2a9c24de11210560f579e7fd9303960c5060155,
32370,STAR WARS™ Knights of the Old Republic™,492,8.2,0,018b6650c8de8c9c36d957cf6f8bc11d0c21d083,
35000,Mini Ninjas,9,0.15,0,02f702c604e0692b8185f1b0e94e013d0a242d3a,
20900,The Witcher: Enhanced Edition,34,0.57,0,746d1cd48fb2e57d579b05b6e9eccba95859e549,
10180,Call of Duty: Modern Warfare 2 (2009),1634,27.23,0,ad502494f1658220f9166c7e17ac90422bf6a479,
10190,Call of Duty: Modern Warfare 2 (2009) - Multiplayer,736,12.27,0,7dd7c2d5bce2413131762d7cbee3f059614ed69d,
550,Left 4 Dead 2,4707,78.45,0,7d5a243f9500d2f8467312822f8af2a2928777ed,
22370,Fallout 3 - Game of the Year Edition,5,0.08,0,21d7090bdea8f6685ca730850b7b55acfdb92732,
41700,S.T.A.L.K.E.R.: Call of Pripyat,596,9.93,0,60b32d190ebcaac8d2b2aaf16db2b07015616eb2,
24960,Battlefield: Bad Company™ 2,1178,19.63,0,3a8b5c53efd00554eb3315681754974c3edf1c41,
8190,Just Cause 2,312,5.2,0,73582e392a2b9413fe93b011665a5b9cf26ff175,
22380,Fallout: New Vegas,13639,227.32,0,1711fd8c46d739feec76bd4a64eaeeca5b87e3a7,
42700,Call of Duty: Black Ops,400,6.67,0,ea744d59efded3feaeebcafed224be9eadde90ac,
42710,Call of Duty: Black Ops - Multiplayer,0,0.0,0,d595fb4b01201cade09e1232f2c41c0866840628,
50300,Spec Ops: The Line,323,5.38,0,55ae859a90d61c08f18ed3aa0ee2579169d2c2bf,
70000,Dino D-Day,232,3.87,0,958cda55e4c95d79c651b567f3083204d9842911,
620,Portal 2,414,6.9,0,2e478fc6874d06ae5baf0d147f6f21203291aa02,
105600,Terraria,2521,42.02,0,858961e95fbf869f136e1770d586e0caefd4cfac,
20920,The Witcher 2: Assassins of Kings Enhanced Edition,674,11.23,0,62dd5c627664df1bcabc47727c7dcd7ccab353e9,
55150,"Warhammer 40,000: Space Marine - Anniversary Edition",223,3.72,0,46b0ce6e587472d1d56cc88dd32c8b57392f8b10,
24240,PAYDAY: The Heist,1454,24.23,0,a07ceea8808f1a2104ed1c864756f263ec67df49,
16450,F.E.A.R. 2: Project Origin,0,0.0,0,6611d8b01c7a2cc3538c478c044d1e09f3140eaa,
21090,F.E.A.R.,82,1.37,0,71f118282be5aaa34eb82506593130ecfcc6a90b,
21100,F.E.A.R. 3,0,0.0,0,01b73115a3ff7315d14f0bcf7beff01ef76162b4,
21110,F.E.A.R.: Extraction Point,0,0.0,0,153d4f89ef0bd59a0039c396ff963a31d4d5e71b,
21120,F.E.A.R.: Perseus Mandate,0,0.0,0,7b1d0271f2735ca66e1cb681eb4da1a7c985d53f,
206440,To the Moon,82,1.37,0,6e29eb4076a6253fdbccb987a2a21746d2df54d7,
108710,Alan Wake,241,4.02,0,ec7953511aaaf5a2c2093b872b5b43c6cab56462,
